name,Transaction Date,Payment Terms,Due  Date,Outstanding Amount,Current,01-31 Days Past Due ,32-61 Days Past Due,62-91 Days Past Due,92-181 Days Past Due,182-361 Days Past Due,362 + Days Past Due
Atlantique Telecom Centrafrique,1/28/2019,30 NET,2/27/2019,18060,0,0,0,0,0,0,18060
Atlantique Telecom Centrafrique,11/1/2020,1st Next Month,12/1/2020,9000,0,9000,0,0,0,0,0
Atlantique Telecom Centrafrique,10/1/2020,1st Next Month,11/1/2020,9000,0,0,9000,0,0,0,0
Atlantique Telecom Centrafrique,9/1/2020,1st Next Month,10/1/2020,9000,0,0,0,9000,0,0,0
Atlantique Telecom Centrafrique,8/1/2020,1st Next Month,9/1/2020,9000,0,0,0,0,9000,0,0
Atlantique Telecom Centrafrique,7/1/2020,1st Next Month,8/1/2020,9000,0,0,0,0,9000,0,0
Atlantique Telecom Centrafrique,6/1/2020,1st Next Month,7/1/2020,18000,0,0,0,0,0,18000,0
Atlantique Telecom Centrafrique,1/1/2019,1st Next Month,2/1/2019,12880,0,0,0,0,0,0,12880
Atlantique Telecom Centrafrique,11/1/2018,1st Next Month,12/1/2018,45000,0,0,0,0,0,0,45000
Atlantique Telecom Centrafrique,10/1/2018,1st Next Month,11/1/2018,45000,0,0,0,0,0,0,45000
Atlantique Telecom Centrafrique,9/1/2018,1st Next Month,10/1/2018,69710,0,0,0,0,0,0,69710
Atlantique Telecom Centrafrique,8/1/2018,1st Next Month,9/1/2018,90710,0,0,0,0,0,0,90710
Atlantique Telecom Centrafrique,7/2/2018,1st Next Month,8/1/2018,24710,0,0,0,0,0,0,24710
Atlantique Telecom Centrafrique,11/16/2020,30 NET,12/16/2020,93745.52,0,93745.52,0,0,0,0,0
Atlantique Telecom Centrafrique,10/14/2020,30 NET,11/13/2020,128026.25,0,0,128026.25,0,0,0,0
Atlantique Telecom Centrafrique,9/14/2020,30 NET,10/14/2020,128849.52,0,0,0,128849.52,0,0,0
Atlantique Telecom Centrafrique,8/12/2020,30 NET,9/11/2020,127867.48,0,0,0,0,127867.48,0,0
Atlantique Telecom Centrafrique,7/10/2020,30 NET,8/9/2020,123136.72,0,0,0,0,123136.72,0,0
Atlantique Telecom Centrafrique,6/19/2020,30 NET,7/19/2020,122124.23,0,0,0,0,122124.23,0,0
Atlantique Telecom Centrafrique,5/11/2020,30 NET,6/10/2020,117913.31,0,0,0,0,0,117913.31,0
Atlantique Telecom Centrafrique,4/9/2020,30 NET,5/9/2020,118177.58,0,0,0,0,0,118177.58,0
Atlantique Telecom Centrafrique,3/6/2020,30 NET,4/5/2020,114652.15,0,0,0,0,0,114652.15,0
Atlantique Telecom Centrafrique,2/5/2020,30 NET,3/6/2020,105599.95,0,0,0,0,0,105599.95,0
Atlantique Telecom Centrafrique,1/7/2020,30 NET,2/6/2020,106859.37,0,0,0,0,0,106859.37,0
Atlantique Telecom Centrafrique,12/6/2019,30 NET,1/5/2020,106002.24,0,0,0,0,0,106002.24,0
Atlantique Telecom Centrafrique,11/5/2019,30 NET,12/5/2019,106582.26,0,0,0,0,0,0,106582.26
Atlantique Telecom Centrafrique,10/8/2019,30 NET,11/7/2019,104923.42,0,0,0,0,0,0,104923.42
Atlantique Telecom Centrafrique,9/10/2019,30 NET,10/10/2019,105497.71,0,0,0,0,0,0,105497.71
Atlantique Telecom Centrafrique,8/8/2019,30 NET,9/7/2019,107105.9,0,0,0,0,0,0,107105.9
Atlantique Telecom Centrafrique,7/3/2019,30 NET,8/2/2019,107909.52,0,0,0,0,0,0,107909.52
Atlantique Telecom Centrafrique,6/1/2019,30 NET,7/1/2019,106563.15,0,0,0,0,0,0,106563.15
Atlantique Telecom Centrafrique,6/1/2019,30 NET,7/1/2019,15660.64,0,0,0,0,0,0,15660.64
Atlantique Telecom Centrafrique,5/31/2019,30 NET,6/30/2019,8575.24,0,0,0,0,0,0,8575.24
Atlantique Telecom Centrafrique,5/1/2019,30 NET,5/31/2019,91334.52,0,0,0,0,0,0,91334.52
Atlantique Telecom Centrafrique,5/1/2019,30 NET,5/31/2019,29577.23,0,0,0,0,0,0,29577.23
Atlantique Telecom Centrafrique,5/1/2019,30 NET,5/31/2019,15774.52,0,0,0,0,0,0,15774.52
Atlantique Telecom Centrafrique,4/2/2019,30 NET,5/2/2019,44444.25,0,0,0,0,0,0,44444.25
Atlantique Telecom Centrafrique,4/2/2019,30 NET,5/2/2019,61866.42,0,0,0,0,0,0,61866.42
Atlantique Telecom Centrafrique,3/31/2019,30 NET,4/30/2019,133263.84,0,0,0,0,0,0,133263.84
Atlantique Telecom Centrafrique,3/1/2019,30 NET,3/31/2019,17668.49,0,0,0,0,0,0,17668.49
Atlantique Telecom Centrafrique,3/1/2019,30 NET,3/31/2019,17668.49,0,0,0,0,0,0,17668.49
Atlantique Telecom Centrafrique,2/28/2019,30 NET,3/30/2019,8832.93,0,0,0,0,0,0,8832.93
Atlantique Telecom Centrafrique,12/31/2020,30 NET,1/30/2021,21940.45,21940.45,0,0,0,0,0,0
Atlantique Telecom Centrafrique,12/1/2020,1st Next Month,1/1/2021,33776,33776,0,0,0,0,0,0
